model,phase,experiment_group,strategy,description,retrieval,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,lens_mean,lens_std,rank_metric,version,count_with_bertscore,perplexity_mean,perplexity_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean
claude-haiku-4-5,Open AI RAG v3,,constraint,step 2 - RAG top k=3 with upgrated prompt,,189,44.8375877313803,3.8876140136506,0.897376275567151,0.0166038631869136,0.209418681219968,0.0748990945101752,70.7156242531665,6.52560722498171,sari_mean,v3,189,28.2811814464589,6.32543372814622,-5.13158424953352,1.6059596082217,16.7534322375399,6.45823231241398,6.12610062929988,70.0625525546269
gemini-2.0-flash,Open AI RAG v3,,structured,step 2 - RAG top k=3 with upgrated prompt,,189,43.490594005339,3.69784575522528,0.89024254127785,0.0134713460067334,0.141871113978695,0.0439801396723853,71.5751024646551,7.69517743178261,sari_mean,v3,189,23.0842913117989,5.13308368590879,-7.10874144143933,1.67597671899355,27.8597212494302,7.42964005729609,4.14894343739407,81.1688415665172
gpt-4o-mini,BGE RAG v3,,constraint,BGE-RAG-full,,189,43.819697773214,3.91366392651129,0.894211035872263,0.0152838448967131,0.163012185745227,0.0575363553586752,72.2739162453551,5.32450329456227,sari_mean,v3,189,26.5730284282139,5.08812751270615,-4.36154442458431,1.41597175104221,16.1783160706138,5.73527632049269,6.89614045424908,69.4874363877008
llama3.2,Simple Prompt v2,Simple Prompt v2,structured,step 1 - simple prompt engineering,none,189,34.9449346575756,3.56356686356418,0.859322782862123,0.0122991436881755,0.0407626521770159,0.0259257231237974,69.4367252256373,9.24069803960111,sari_mean,v2,189,31.4311096504252,9.56216397699705,-3.63011426999049,1.92527435057381,12.9307822568811,8.71823755526151,7.62757060884291,66.2399025739681
sonar,Open AI RAG v3,,constraint,step 2 - RAG top k=3 with upgrated prompt,,189,42.2861031709556,4.79956857045946,0.890700747727086,0.0206637908816849,0.170340007616635,0.0768760469327281,49.6521684420402,16.7369037066905,sari_mean,v3,189,39.9072646186465,12.9355308989994,-6.23265639619901,2.27988486226517,21.3280949158876,9.40727243645098,5.02502848263439,74.6372152329747
