rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gemini-2.0-flash,zeroshot,189,41.856254169815,3.43340389490407,0.884590081121556,0.0129059624743586,0.100108246325823,0.0330249630249522,21.5517688377824,6.99126926608258,65.618360646741,11.1546105599484
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gemini-2.0-flash,constraint,189,39.3294809743393,5.03790722017052,0.877503088857762,0.0140816922093759,0.0956002329107785,0.0469102815712304,26.9864465774052,6.48184697034581,58.8379739726827,13.0732063822658
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gemini-2.0-flash,structured,189,41.2316797165465,3.90633517230741,0.881387700164129,0.0135133273150697,0.105935520782666,0.0406533792761236,23.7108207732912,5.93576653094683,68.0168227551472,10.3266263949006
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gemini-2.0-flash,zeroshot,189,40.5703091925511,3.71173318145737,0.879639896135482,0.0123207658825329,0.0928045601809546,0.0355500201840936,24.1977759921362,6.97668814059501,66.1497932595731,11.5255715103641
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,constraint,189,42.5102767212361,3.68710838198665,0.886533085000578,0.0131218868553102,0.126122238907871,0.0450137545199165,26.3177547808047,6.3731273629243,64.9275492280454,9.98864644726498
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,structured,189,43.490594005339,3.69784575522528,0.89024254127785,0.0134713460067334,0.141871113978695,0.0439801396723853,23.0842913117989,5.13308368590879,71.5751024646551,7.69517743178261
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,zeroshot,189,41.8581379210059,3.37900095546924,0.884902456765452,0.0131253042683989,0.101189436373208,0.0353822714074842,21.4561095666633,5.81362632121756,66.8601479134782,10.7611291395053
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gpt-4o-mini,constraint,189,43.819697773214,3.91366392651129,0.894211035872263,0.0152838448967131,0.163012185745227,0.0575363553586752,26.5730284282139,5.08812751270615,72.2739162453551,5.32450329456227
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gpt-4o-mini,structured,189,39.9433261749864,4.42748107392378,0.879473188251415,0.0162648456195781,0.0980106263549741,0.0508998580551785,29.4417042908845,37.8215331478236,74.421026752257,8.34621547668356
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gpt-4o-mini,zeroshot,189,41.2388213897325,4.24233665560255,0.884560735137374,0.01625786686497,0.115509244203886,0.050660911598629,26.2402184501527,6.04045419978835,73.2294957294084,6.45098448020691
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gpt-4o-mini,constraint,189,43.7956713877123,3.97223985244474,0.893388334720854,0.0165022261925391,0.163739627858616,0.0604430067536205,26.893186226093,5.34821942137313,72.0369253016803,6.00562598582923
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gpt-4o-mini,structured,189,40.2518563696867,4.26203259566833,0.881027975095012,0.0151209578528405,0.101050132616627,0.051114090706221,26.3136554647375,5.41983676147882,74.2829921831257,6.24464126352271
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gpt-4o-mini,zeroshot,189,41.2916810659347,4.50139960276479,0.883672788975731,0.0197670109640701,0.115770074724354,0.0536407524723344,25.8351942496325,6.45096538441971,72.6843757695713,7.23035771084008
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gpt-4o-mini,constraint,189,43.4166742991676,4.36040552430498,0.889397712611647,0.0193567223726511,0.155466655681049,0.0610343826945887,25.2796379119631,4.85306967462125,68.6853109677979,8.13928722345309
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gpt-4o-mini,structured,189,40.1042789725856,4.07417222729177,0.880162522275612,0.0134964550566858,0.0977416118688012,0.0469228639200464,25.3766863232567,5.38824938740941,74.4248760025857,7.01710336403965
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,gpt-4o-mini,zeroshot,189,41.0931930272299,5.12474813482146,0.878751914967936,0.0249584487714559,0.108442892413109,0.0501961125496447,21.3395330994217,6.26406418653721,67.5167155289116,9.1602512470309
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,constraint,189,43.776055995359,3.88723726491498,0.893987641132698,0.0153972682926357,0.161128493844389,0.0592346678586862,26.5561441340774,5.13698030533808,72.3764120463956,6.12105034575539
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,structured,189,40.190678577315,4.31706219049868,0.880589370689695,0.0152082269431474,0.10055162338205,0.0476444657977452,26.0737595230183,5.17300811412849,74.9947158699988,5.72372670910716
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,zeroshot,189,41.5042372737275,4.19395281791821,0.885237391663607,0.0163955324188685,0.116854617581787,0.0529238587093215,25.8446550419722,5.73914896006737,71.9633217362014,6.98176704549242
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,llama3.2,constraint,40,28.5564583349409,2.63156343801276,0.792888437211513,0.0105393261486823,0.0028882635095869,0.0023812414199813,26.3852390408516,12.0996660388941,34.154513243807,17.6289019268974
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,llama3.2,structured,40,28.3795270384592,3.02055567556215,0.795337238907814,0.0103728077366794,0.0028654933777816,0.0034684647562928,25.2912973880768,10.9965746968697,38.9270719907435,12.9242404943763
