model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
gpt-4o-mini,BGE-RAG-full,40,0.884841218590736,0.0145087423413984,0.114083351799771,0.0511848385720274,40.9412242451829,4.24468814351281,26.4294461250305,5.59853266897193,-4.64946183818181,1.56935099635702,16.4796499956661,6.77297786064268,6.90279829091498,1.1028127399208,69.1185030135421,6.40385265814565,,,73.243799381863,6.85604777849234
gemini-2.0-flash,BGE-RAG-full,40,0.883267351984978,0.0128821908239109,0.0974310785748929,0.0403969627190918,41.4677276124672,4.19080081247877,20.9059213161469,6.50383540078762,-8.26336924787163,1.80759025402276,33.1757465651901,7.94387821969516,3.28889088122515,0.769307930648465,85.814599583066,4.86189465260214,,,67.5404147802297,9.17151651732003
llama3.2,BGE-RAG-full,40,0.795408314466476,0.00948136351154426,0.00350552698807886,0.00382746614550844,28.6262345106422,2.7212736832764,24.0138180017471,7.92680749028333,3.66082789156426,12.6108696215385,-19.5885900023084,31.8640910713467,15.213088020661,12.7088486231233,33.0502630155675,32.9256636965338,,,37.7406171234292,15.2061404959995
sonar,BGE-RAG-full,40,0.886537052690983,0.0220612269901557,0.150591619049835,0.0771188634564167,41.5944611738252,5.27257756426991,41.6526859760284,12.1098749046638,-6.81818411633654,2.66709509550741,24.7344517263101,11.1838808999355,4.73407601276024,2.09789182582903,77.373304744186,10.0301747107724,,,50.111662170264,15.8884461950807
