model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
gemini-2.0-flash,E5-RAG-full,40,0.88722982853651,0.0135012396658029,0.132308262925979,0.0465355820911011,42.3915482813981,4.5200056323994,23.9992886543274,4.95345895934125,-7.37506508075782,1.85152815531736,28.7776605735812,7.87496838862584,4.17719504833896,0.749700377729027,81.4165135914572,4.65594951611725,,,71.3023303523111,5.64841404252601
sonar,E5-RAG-full,40,0.880123846232891,0.0224759045496601,0.125938178257839,0.0672725939466972,41.1129583252269,5.07417505651607,36.5433122634888,12.6953086991459,-6.73164917953421,3.35429766616409,24.162436823456,13.1103492768972,4.82061094956257,2.77661177171251,76.801289841332,11.4142023166178,,,57.2634172029801,17.180758899526
gpt-4o-mini,E5-RAG-full,40,0.874828554689884,0.0156166639757141,0.0849552711237516,0.0461510082451834,38.9260135626801,4.03660911543036,26.2973499774933,3.95218116131674,-4.30204717763472,1.63702831000418,15.2881832003501,6.62768721402697,7.25021295146206,1.11640803602878,67.9270362182261,6.25442149905135,,,74.996956716954,6.52925550556198
llama3.2,E5-RAG-full,40,0.794064739346504,0.0068430448504207,0.00321995395129958,0.00259751103585046,28.5480459307118,2.83333181619757,26.1806301355362,10.9938816960292,4.2380911165934,13.0809463225147,-20.5195540120701,35.8229942805859,15.7903512456902,13.7630470196163,32.1192990058058,38.3079227835254,,,37.2557258945794,14.846581390716
