model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
llama3.2,BGE-RAG-full,40,0.795337238907814,0.0103728077366794,0.00286549337778161,0.00346846475629289,28.3795270384592,3.02055567556215,25.2912973880768,10.9965746968697,2.3605725773064,3.71645568221847,-16.6820583039625,16.7397696692629,13.9128327064032,3.65501676790537,35.9567947139134,17.1778983874194,,,38.9270719907435,12.9242404943763
gemini-2.0-flash,BGE-RAG-full,40,0.88577673137188,0.0108563177606816,0.132436608282837,0.0528450073180969,42.4604655227676,4.43813268066509,23.6302985191345,4.70208091782764,-7.46734404980916,1.76073878859569,29.0362456007726,7.51421188581951,4.08491607928762,0.889338570413698,81.6750986186485,5.47720939240218,,,70.5815854380148,8.72238860501442
sonar,BGE-RAG-full,40,0.876020762324333,0.0295429624048172,0.118784283122021,0.082901033428153,40.3068814965988,5.68260017357282,38.9424803256989,11.2096532921689,-6.54950082011116,3.44647209705846,23.0907293625797,15.0625122106949,5.00275930898562,2.57415450197992,75.7295823804556,11.934220383566,,,54.1693270920031,14.8380354108422
gpt-4o-mini,BGE-RAG-full,40,0.874294513463974,0.0193376552819639,0.0870032407393688,0.0502283381215533,38.883265899698,4.96808128485243,40.2303067207336,81.3774674019066,-4.43656380334614,1.84413918533223,16.0834196935984,8.68656114559231,7.11569632575064,1.51504509550076,68.7222727114743,7.99176676935306,,,72.2672582133681,13.5082629743031
