model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
llama3.2,E5-RAG-full,40,0.792442581057549,0.0107775713888956,0.00280833865048356,0.00189972652955081,28.4556391817682,2.88291970721459,24.3978807926178,9.96837267696536,1.70304058428778,2.59711868852396,-16.6654183329375,14.7700254979426,13.2553007133846,2.38513273160983,35.9734346849385,13.6299752150596,,,36.4947849078079,14.1448564573006
sonar,E5-RAG-full,40,0.885324649512768,0.0210930168364092,0.141255392778898,0.0767990188386336,40.8785764310806,5.08302296402877,43.7899496078491,12.8507815790842,-7.02666236596143,2.20897499627286,25.6859992047069,9.6130742990974,4.52559776313536,1.70540184694809,78.3248522225828,8.75601163802979,,,49.4674905884024,14.8042860390167
gpt-4o-mini,E5-RAG-full,40,0.88213576823473,0.0188618189864179,0.117387433096799,0.0559056186284612,41.2136500751007,4.78984951128827,25.8748385906219,6.01039375364536,-4.73937597389428,1.75766124107804,16.9759315835723,7.39075859280025,6.81288415520251,1.34708573381301,69.6147846014483,7.25735375426501,,,72.0592724847917,8.4618996535555
gemini-2.0-flash,E5-RAG-full,40,0.882629965245724,0.0115758136325432,0.096217476768784,0.0373126494926794,40.9619678028241,3.58577103381233,23.0688838720322,7.06129160406292,-8.19074737825701,1.74135943503406,32.4721413655341,7.7475834286983,3.36151275083977,0.764263679853448,85.1109943834101,4.80549209796068,,,65.7927826854176,11.9149285389379
