model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
sonar,BGE-RAG-full,40,0.892812536656857,0.017408800710157,0.181582668594051,0.0718242502557569,42.4656537300173,3.45428068122821,38.2560811519623,11.9164063279381,-6.40135122490562,1.95975790296068,21.659467574837,7.92278805069129,5.15090890419117,1.71757961002303,74.298320592713,9.14165329678753,,,53.7426713834374,14.5720419406053
llama3.2,BGE-RAG-full,40,0.792888437211513,0.0105393261486823,0.00288826350958697,0.00238124141998133,28.5564583349409,2.63156343801276,26.3852390408516,12.0996660388941,3.11654672259999,7.69655876371854,-16.857189458826,22.4831023157442,14.6688068516968,7.62012783088428,35.7816635590499,22.6756542341514,,,34.154513243807,17.6289019268974
gpt-4o-mini,BGE-RAG-full,40,0.891997028887272,0.0141561345452945,0.156030315157885,0.0609607648347306,43.2218996791789,4.32902273480972,27.3506896972656,4.67517815504312,-4.58091924804135,1.49019128986386,16.6590388978276,5.99928749829101,6.97134088105543,1.23051780242486,69.2978919157036,6.93528614148469,,,72.4208684704775,5.43684487601815
gemini-2.0-flash,BGE-RAG-full,40,0.88470773845911,0.0116705507914063,0.121542541603645,0.0383210721052588,41.6336057158082,3.69871745805304,27.2752998590469,6.29096607645128,-8.23345017883175,1.7433395803002,33.5358844590865,7.82419221826252,3.31880995026504,0.723153295632384,86.1747374769624,4.41880541352335,,,64.6092788608657,7.67502343835946
