model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
sonar,E5-RAG-full,40,0.893437892198563,0.0163836724479441,0.195565916546178,0.0845377116801541,42.8722926321969,4.46038065886358,38.6817587852478,13.0467985759699,-6.59609601561142,1.94894376679615,22.2854751542328,7.89354117316352,4.95616411348536,1.83715079642596,74.9243281721087,10.4330645203926,,,48.6259860473383,14.7966684816261
llama3.2,E5-RAG-full,40,0.793538200855255,0.0091718301748979,0.00263815627727793,0.00145611583701904,28.5976463126779,2.78899842258008,25.1898367881775,8.8619546167625,1.31208548042951,2.96402585610577,-12.7066177044947,16.1479936111439,12.8643456095263,3.06459216799854,39.9322353133812,16.7168522098009,,,37.1067932276149,17.5219876935375
gpt-4o-mini,E5-RAG-full,40,0.889569063484669,0.021270448651976,0.152357143310268,0.0712115726991305,42.8474984851908,5.13323284242444,27.9803720474243,5.30514788831138,-4.48668475779179,1.45073918456134,16.3957640219701,6.19718106088513,7.06557537130499,1.13637573640561,69.034617039846,6.79433603732801,,,72.3924079762855,6.51779713425074
gemini-2.0-flash,E5-RAG-full,40,0.886966410279274,0.0120989147291627,0.125274736193363,0.0456092056592444,42.143997631077,4.00181017514979,26.4626681089401,5.59525614886052,-8.24140180329907,1.79016861532431,33.4034012003634,7.93113845470358,3.31085832579772,0.779457859804667,86.0422542182394,4.88261712946647,,,64.4534854112022,10.0423715484349
