model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
claude-haiku-4-5,v1,step 1 - simple prompt engineering,constraint,189,189,0.871269929661322,0.0124982984073173,0.0881347860292095,0.0411717537252276,39.7795300948722,3.90790363345181,29.5352057300547,6.23616317943336,53.6680774092566,13.9405207311228,-6.57988630632178,1.82806755666968,23.5285707080219,8.56536991224878,4.67779857251161,76.8376910251089,Simple Prompt v1,Simple Prompt v1,none
claude-haiku-4-5,v1,step 1 - simple prompt engineering,structured,189,189,0.855904379218974,0.011179137128129,0.0490826116587031,0.02967056973988,36.2643176695447,3.73484983771481,27.4419847720515,5.61492190123732,51.7053552452777,14.4442399234238,-5.12612030188686,1.96888311588319,17.9637188098505,8.59781623293176,6.13156457694653,71.2728391269374,Simple Prompt v1,Simple Prompt v1,none
claude-haiku-4-5,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.855616098358518,0.0107060296235715,0.0406149577144889,0.0258197726690529,35.4473322524467,3.6140617088197,27.1164539377525,5.50923446019971,55.2314346348367,13.7114286641787,-5.30062945986755,1.99882661489566,19.734071610758,8.51179215613671,5.95705541896585,73.0431919278449,Simple Prompt v1,Simple Prompt v1,none
claude-haiku-4-5,v1,step 2 - RAG top k=3,constraint,189,189,0.889614386217935,0.0148046264476231,0.18312719169222,0.0656034861577036,44.8256779356101,3.63932139295748,27.5435381995307,6.00304905822972,58.6135395800799,10.8564852839526,-5.44328023793709,1.62421173174983,18.2193784313684,6.68147845163571,5.8144046408963,71.5284987484554,Open AI RAG v2,,
claude-haiku-4-5,v2,step 1 - simple prompt engineering,constraint,189,189,0.876470464562613,0.0133772210049179,0.1011609122694,0.0465007667593013,40.7814303557461,3.97581087638817,27.9254935632938,5.81266022884645,59.0957312326215,12.3783880270038,-6.80323484426788,1.73388072283129,25.5944085350203,7.72821772238759,4.45445003456551,78.9035288521073,Simple Prompt v2,Simple Prompt v2,none
claude-haiku-4-5,v2,step 1 - simple prompt engineering,structured,189,189,0.869814871164857,0.0126188779508357,0.0785352554688467,0.0400331654424885,39.1189470098433,3.6087559280307,26.6984191016545,5.78672409154009,60.1446391907126,12.4485758945432,-6.38165167951509,1.7415637408398,22.4149934177451,7.77293207932803,4.87603319931831,75.7241137348321,Simple Prompt v2,Simple Prompt v2,none
claude-haiku-4-5,v2,step 1 - simple prompt engineering,zeroshot,189,189,0.870761555023294,0.0124778243804915,0.0760316716120446,0.0390726405517453,39.1510586816304,3.73830991605416,30.0182682673136,7.33106232671341,60.4389715918536,11.650903513922,-6.60162809313511,1.82902682636792,23.4428807417235,8.30331839303242,4.65605678569829,76.7520010588105,Simple Prompt v2,Simple Prompt v2,none
claude-haiku-4-5,v2,step 2 - RAG top k=3,structured,189,189,0.878000716683726,0.0127264791547586,0.123230503229363,0.0586710943815122,41.7391671397072,4.04168072895353,25.7680157908687,5.54581617575787,61.5577123535152,11.3219053901446,-5.82120107452443,1.76139159847771,19.6645437146449,7.69941677585435,5.43648380430896,72.9736640317318,Open AI RAG v2,,
claude-haiku-4-5,v2,step 2 - RAG top k=3,zeroshot,189,189,0.880799010001793,0.0144086372736418,0.12530023331521,0.0597577035095179,42.0932324049857,4.01844944803483,27.7929968556399,6.12503921808253,61.4396646802233,11.1676936132962,-5.82613617967059,1.68928551151725,19.7697054232081,7.48939381881568,5.4315486991628,73.0788257402951,Open AI RAG v2,,
claude-haiku-4-5,v3,BGE-RAG-full,constraint,189,189,0.897309203627248,0.0155010519605247,0.208554140876305,0.0706765754969429,44.7385436058676,3.93035491249496,28.6184858846917,6.49080135434753,70.3262242527202,7.35798298561955,-5.1693398010066,1.67584105097539,17.2004396707146,6.84109951858373,6.0883450778268,70.5095599878016,BGE RAG v3,,
